State,District,Rabi1,Rabi2,Kharif1
Uttar Pradesh,Agra,Wheat,Potato,Bajra
Uttar Pradesh,Aligarh,Potato,Wheat,Sugarcane
Uttar Pradesh,Allahabad,Wheat,Potato,Rice
Uttar Pradesh,Amethi,Wheat,Potato,Rice
Uttar Pradesh,Amroha,Wheat,Potato,Sugarcane
Uttar Pradesh,Auraiya,Wheat,Potato,Rice
Uttar Pradesh,Azamgarh,Wheat,Potato,Sugarcane
Uttar Pradesh,Badaun,Wheat,Potato,Rice
Uttar Pradesh,Baghpat,Wheat,Potato,Sugarcane
Uttar Pradesh,Bahraich,Wheat,Masoor,Sugarcane
Uttar Pradesh,Ballia,Wheat,Potato,Rice
Uttar Pradesh,Balrampur,Wheat,Potato,Sugarcane
Uttar Pradesh,Banda,Wheat,Gram,Rice
Uttar Pradesh,Barelly,Wheat,Potato,Sugarcane
Uttar Pradesh,Basti,Wheat,Potato,Sugarcane
Uttar Pradesh,Bijnor,Wheat,Potato,Sugarcane
Uttar Pradesh,Bulandshahr,Wheat,Potato,Sugarcane
Uttar Pradesh,Chandauli,Wheat,Potato,Rice
Uttar Pradesh,Chitrakoot,Wheat,Gram,Sugarcane
Uttar Pradesh,Deoria,Wheat,Potato,Sugarcane
Uttar Pradesh,Etah,Wheat,Potato,Maize
Uttar Pradesh,Etawah,Potato,Wheat,Rice
Uttar Pradesh,Faizabad,Wheat,Potato,Sugarcane
Uttar Pradesh,Farrukhabad,Potato,Wheat,Sugarcane
Uttar Pradesh,Fatehpur,Wheat,Potato,Sugarcane
Uttar Pradesh,Firozabad,Potato,Wheat,Bajra
Uttar Pradesh,Ghaziabad,Wheat,Potato,Sugarcane
Uttar Pradesh,Ghazipur,Wheat,Potato,Sugarcane
Uttar Pradesh,Gonda,Wheat,Potato,Sugarcane
Uttar Pradesh,Gorakhpur,Wheat,Potato,Rice
Uttar Pradesh,Hamirpur,Wheat,Gram,Sugarcane
Uttar Pradesh,Hapur,Wheat,Potato,Sugarcane
Uttar Pradesh,Hardor,Wheat,Potato,Sugarcane
Uttar Pradesh,Hathras,Potato,Wheat,Bajra
Uttar Pradesh,Jalaun,Wheat,Peans & Beans,Sugarcane
Uttar Pradesh,Jaunpur,Wheat,Peans & Beans,Sugarcane
Uttar Pradesh,Jhansi,Wheat,Peans & Beans,Groundnut
Uttar Pradesh,Kannauj,Potato,Wheat,Maize
Uttar Pradesh,Kasganj,Wheat,Potato,Sugarcane
Uttar Pradesh,Kaushambi,Wheat,Potato,Sugarcane
Uttar Pradesh,Kheri,Wheat,Potato,Sugarcane
Uttar Pradesh,Kushinagar,Wheat,Potato,Sugarcane
Uttar Pradesh,Lalitpur,Wheat,Peans & Beans,Urad
Uttar Pradesh,Lucknow,Wheat,Potato,Rice
Uttar Pradesh,Maharajganj,Wheat,Potato,Sugarcane
Uttar Pradesh,Mahoba,Wheat,Peans & Beans,Sugarcane
Uttar Pradesh,Mainpuri,Potato,Wheat,Rice
Uttar Pradesh,Mathura,Wheat,Potato,Rice
Uttar Pradesh,Mau,Wheat,Potato,Sugarcane
Uttar Pradesh,Meerut,Wheat,Potato,Sugarcane
Uttar Pradesh,Mirzapur,Wheat,Potato,Rice
Uttar Pradesh,Moradabad,Wheat,Potato,Sugarcane
Uttar Pradesh,Muzaffarnagr,Wheat,Potato,Sugarcane
